"effect_A_on_Y","effect_L_on_Y","conservative","grid_size","cens_mg_method","type","coverage","mse","bias","sd","mean_se"
-0.3,-0.5,FALSE,1,,"ICE-IPCW (deb.)",0.946,0.000274,0.0000488,0.0166,0.0163
,,,,,"ICE-IPCW",,0.00027,0.000101,0.0164,
-0.3,-0.5,FALSE,5,,"ICE-IPCW (deb.)",0.95,0.000257,-0.000776,0.016,0.0163
,,,,,"ICE-IPCW",,0.000265,0.0000305,0.0163,
-0.3,-0.5,FALSE,10,,"ICE-IPCW (deb.)",0.95,0.000266,-0.00000828,0.0163,0.0163
,,,,,"ICE-IPCW",,0.000268,-0.000141,0.0164,
-0.3,-0.5,FALSE,30,,"ICE-IPCW (deb.)",0.948,0.00026,-0.000431,0.0161,0.0162
,,,,,"ICE-IPCW",,0.000261,-0.000342,0.0162,
-0.3,-0.5,FALSE,100,,"ICE-IPCW (deb.)",0.954,0.000263,-0.000078,0.0162,0.0162
,,,,,"ICE-IPCW",,0.000265,0.000314,0.0163,
-0.3,-0.5,TRUE,1,,"ICE-IPCW (deb.)",0.953,0.000257,-0.000118,0.016,0.0164
,,,,,"ICE-IPCW",,0.000256,-0.0000957,0.016,
-0.3,0,FALSE,1,,"ICE-IPCW (deb.)",0.951,0.000319,-0.0000727,0.0179,0.0179
,,,,,"ICE-IPCW",,0.000313,0.0000255,0.0177,
-0.3,0,FALSE,5,,"ICE-IPCW (deb.)",0.948,0.000315,-0.00117,0.0177,0.0179
,,,,,"ICE-IPCW",,0.000325,0.000296,0.018,
-0.3,0,FALSE,10,,"ICE-IPCW (deb.)",0.95,0.000311,0.0000603,0.0176,0.0178
,,,,,"ICE-IPCW",,0.000315,0.0000665,0.0178,
-0.3,0,FALSE,30,,"ICE-IPCW (deb.)",0.943,0.000324,-0.000478,0.018,0.0177
,,,,,"ICE-IPCW",,0.000328,-0.000105,0.0181,
-0.3,0,FALSE,100,,"ICE-IPCW (deb.)",0.949,0.000324,-0.000298,0.018,0.0178
,,,,,"ICE-IPCW",,0.000327,0.000318,0.0181,
-0.3,0,TRUE,1,,"ICE-IPCW (deb.)",0.953,0.000318,0.00021,0.0178,0.018
,,,,,"ICE-IPCW",,0.000318,0.000255,0.0178,
-0.3,0.5,FALSE,1,,"ICE-IPCW (deb.)",0.945,0.000386,0.0000996,0.0197,0.0196
,,,,,"ICE-IPCW",,0.00038,0.000305,0.0195,
-0.3,0.5,FALSE,5,,"ICE-IPCW (deb.)",0.95,0.000372,-0.0029,0.0191,0.0196
,,,,,"ICE-IPCW",,0.000378,-0.00039,0.0194,
-0.3,0.5,FALSE,10,,"ICE-IPCW (deb.)",0.952,0.000371,-0.000401,0.0193,0.0195
,,,,,"ICE-IPCW",,0.00038,0.000086,0.0195,
-0.3,0.5,FALSE,30,,"ICE-IPCW (deb.)",0.945,0.000386,-0.000762,0.0196,0.0194
,,,,,"ICE-IPCW",,0.000389,-0.0000873,0.0197,
-0.3,0.5,FALSE,100,,"ICE-IPCW (deb.)",0.947,0.000386,-0.000929,0.0196,0.0194
,,,,,"ICE-IPCW",,0.000392,0.000121,0.0198,
-0.3,0.5,TRUE,1,,"ICE-IPCW (deb.)",0.956,0.000381,0.000199,0.0195,0.0199
,,,,,"ICE-IPCW",,0.00038,0.000191,0.0195,
0,0.5,FALSE,1,,"ICE-IPCW (deb.)",0.947,0.000434,0.000538,0.0208,0.0207
,,,,,"ICE-IPCW",,0.000428,0.000107,0.0207,
0,0.5,FALSE,5,,"ICE-IPCW (deb.)",0.955,0.000404,-0.00326,0.0198,0.0208
,,,,,"ICE-IPCW",,0.000411,-0.000218,0.0203,
0,0.5,FALSE,10,,"ICE-IPCW (deb.)",0.95,0.000416,-0.000771,0.0204,0.0205
,,,,,"ICE-IPCW",,0.000424,0.0000061,0.0206,
0,0.5,FALSE,30,,"ICE-IPCW (deb.)",0.95,0.000412,-0.0012,0.0203,0.0204
,,,,,"ICE-IPCW",,0.000415,-0.00034,0.0204,
0,0.5,FALSE,100,,"ICE-IPCW (deb.)",0.95,0.000415,-0.00165,0.0203,0.0204
,,,,,"ICE-IPCW",,0.000417,-0.000328,0.0204,
0,0.5,TRUE,1,,"ICE-IPCW (deb.)",0.955,0.000423,-0.000248,0.0206,0.0211
,,,,,"ICE-IPCW",,0.000422,-0.000196,0.0205,
0.3,0.5,FALSE,1,,"ICE-IPCW (deb.)",0.948,0.000465,0.00116,0.0215,0.0214
,,,,,"ICE-IPCW",,0.000458,0.000242,0.0214,
0.3,0.5,FALSE,5,,"ICE-IPCW (deb.)",0.958,0.000438,-0.00349,0.0206,0.0214
,,,,,"ICE-IPCW",,0.000446,0.0000745,0.0211,
0.3,0.5,FALSE,10,,"ICE-IPCW (deb.)",0.956,0.000432,-0.000694,0.0208,0.0212
,,,,,"ICE-IPCW",,0.000445,0.000305,0.0211,
0.3,0.5,FALSE,30,,"ICE-IPCW (deb.)",0.949,0.000454,-0.000928,0.0213,0.0211
,,,,,"ICE-IPCW",,0.000464,0.00023,0.0215,
0.3,0.5,FALSE,100,,"ICE-IPCW (deb.)",0.948,0.000449,-0.00138,0.0211,0.021
,,,,,"ICE-IPCW",,0.00046,0.000289,0.0214,
0.3,0.5,TRUE,1,,"ICE-IPCW (deb.)",0.957,0.00046,-0.000102,0.0214,0.022
,,,,,"ICE-IPCW",,0.000458,-0.0000273,0.0214,
